Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Month,Year,TimePeriod,Location_encoded,Operator_encoded,AC Type_encoded,Route_encoded,Fatality Rate,Survival Rate,Season
Brazil,REAL / Military - US,Unknown,Campos - Rio de Janeiro,Douglas DC-3 / USN R4-D6,PP-AXD/131582,13326 / 43685-307,64.0,53.0,11.0,61.0,50.0,11.0,0.0,"Midair collision between a DC-3 and a US Navy R-6D. Improper piloting procedures when flying on authorized instrument flight (US Navy pilot). The pilot of the USN plane disobeyed instructions transmitted by Rio Approach Control. The U.S. Navy disagreed and placed no blame on neither pilot. Twenty six killed on the DC-3, 35 on the R4-D6. Members of the United States Navy Band among those killed.",2,1960,Afternoon,90,1599,1150,734,0.953125,0.046875,Winter
 Ukraine,Aeroflot,315,Moscow - Kiev - Lviv,Antonov 10A,CCCP-11180,9401801,33.0,25.0,8.0,32.0,24.0,8.0,0.0,The plane crashed into a swamp short of the runway threshold. Icing of the horizontal stabilizer.,2,1960,Afternoon,22,90,117,2342,0.9696969696969697,0.030303030303030276,Winter
Ireland,Alitalia,Unknown,Rome - Shannon - Gander -New York City,Douglas DC-7C,I-DUVO,45231/945,52.0,40.0,12.0,34.0,23.0,11.0,0.0,Lost altitude shortly after taking off and crashed. Cause unknown.,2,1960,Unknown,230,339,1201,2985,0.6538461538461539,0.34615384615384615,Winter
Colombia,Agencia Interamericana de Aviada,Unknown,Aracacuara - Villavicencio,Consolidated PBY-5A Catalina,HK-1001E,,13.0,10.0,3.0,6.0,4.0,2.0,0.0,Crashed in the jungle  en route.,3,1960,Unknown,121,161,867,233,0.46153846153846156,0.5384615384615384,Spring
Japan,All Nippon Airways,Unknown,Tokyo - Nagoya,Douglas DC-3,JA-5018,6006,40.0,35.0,5.0,5.0,3.0,2.0,0.0,Mid-air collision with a Japan Air Self Defence Force F-86 fighter which was taking off from Nagoya. Both planes crashed but the F-86 pilot ejected safely.,3,1960,Night,237,340,1123,3517,0.125,0.875,Spring
Indiana,Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63.0,57.0,6.0,63.0,57.0,6.0,0.0,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.,3,1960,Afternoon,224,1443,1699,833,1.0,0.0,Spring
Colombia,SAMSA,901,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46.0,42.0,4.0,25.0,22.0,3.0,0.0,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower.",3,1960,Morning,121,1660,916,3037,0.5434782608695652,0.4565217391304348,Spring
Nicaragua,Lanica,Unknown,Siuna - Bonanza,Curtiss C-46A-40-CU,AN-AIN,26945,18.0,14.0,4.0,2.0,1.0,1.0,0.0,Flew into a hill shortly after taking off. Engine failure due to a  fatigue crack at a valve.,4,1960,Afternoon,335,1093,921,3264,0.1111111111111111,0.8888888888888888,Spring
Brazil,Cruzeiro,Unknown,Jaguarão - Rio Grande - Pelotas - Porto Alegre,Douglas DC-3,PP-CDS,4823,22.0,19.0,3.0,10.0,8.0,2.0,0.0,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground.",4,1960,Afternoon,90,688,1123,1500,0.45454545454545453,0.5454545454545454,Spring
"Taipei,Taiwan",Military - Royal,Unknown,Taipei - Bangkok,Douglas DC-4,Unknown,42919,18.0,,,18.0,,,0.0,Struck Mt Wuzhi located 8 km northeast of the airport.,4,1960,Unknown,482,1314,1175,3381,1.0,0.0,Spring
Newfoundland,Military - US,Unknown,Dover-Stephenville - Lajes - Mildenhall,Douglas C-124C Globemaster,52-1062,43971,9.0,,9.0,9.0,,9.0,0.0,Failed to gain altitude on take off and struck a hill.,4,1960,Unknown,334,1331,1022,1092,1.0,0.0,Spring
Colombia,Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51.0,44.0,7.0,37.0,31.0,6.0,0.0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,4,1960,Night,121,1155,916,2231,0.7254901960784313,0.27450980392156865,Spring
North Carolina,Piedmont Airlines / Private,Unknown,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,N2704R/N1807H,17,44.0,39.0,5.0,4.0,3.0,1.0,0.0,"The aircraft were involved in a midair collision while both were making an approach to land. The pilot of the Cessna, the over-taking aircraft, failed to see and avoid the F-27 during the landing appoach. Four died aboard the Cessna, none aboard the Fairchild.",4,1960,Afternoon,340,1544,1293,881,0.09090909090909091,0.9090909090909091,Spring
Belgian Congo,Sobelair SA (Belgium),Unknown,Brussels - Rome - Cairo - Bunia,Douglas C-54B,OO-SBL,3099,35.0,28.0,7.0,35.0,28.0,7.0,0.0,Crashed into the slope of Bogoro Peak located about 8 km short of runway.while on approach. Crew error. The decision by the pilot in descending below the minimum ceiling prescribed.,4,1960,Morning,74,1777,1089,611,1.0,0.0,Spring
Venezuela,Linea Aeropostal Venezolana,Unknown,Maiquetia - Calabozo,Douglas DC-3,YV-C-AFE,15353/26798,13.0,9.0,4.0,13.0,9.0,4.0,0.0,The aircraft crashed after an explosion aboard. Detonation of a hand-grenade brought aboard by a Russian immigrant. The explosion occurred after the captain tried to disarm the man.,4,1960,Morning,519,1120,1123,2044,1.0,0.0,Spring
Sudan,Balair,Unknown,Niamey - Khartoum,Douglas DC-4-1009,HB-ILA,43072,12.0,5.0,7.0,12.0,5.0,7.0,0.0,"Crashed into 8,000 ft. Mt. Marra. Navigation error by the crew who were using an astrofix to estimate their position.",5,1960,Night,473,466,1183,2526,1.0,0.0,Spring
Argentina,Transamerican Air Transport,Unknown,Buenos Aires - Santiago de Chile - Lima,Curtiss C-46,LV-GGJ,22554,9.0,5.0,4.0,9.0,5.0,4.0,0.0,Crashed due to structural failure after flying into extremely violent turbulence. Insufficient preparation for the flight by the crew. Inadequate arrangements for the secure carriage of the livestock. The pilots failure to familiarize himself with the prevailing weather conditions. Not found until 11/21/61.,5,1960,Afternoon,52,1960,916,651,1.0,0.0,Spring
Georgia,Delta Air Lines,Unknown,Training,Convair CV-880,N8804E,22-00-16,4.0,0.0,4.0,4.0,0.0,4.0,0.0,"The aircraft stalled for reasons undetermined, at an altitude too low to effect recovery.",5,1960,Morning,183,716,901,3547,1.0,0.0,Spring
Georgia,Aeroflot,207,Kutaisi - Rostov-on-Don,Ilyushin IL-14P,CCCP-91571,7343107,31.0,24.0,7.0,31.0,24.0,7.0,0.0,The plane crashed in hillside woods while en route. Poor organization and overseeing the preparation of the flight by the crew.,6,1960,Morning,183,90,1534,1772,1.0,0.0,Summer
Qld. Australia,Trans Australia Airlines,538,Rockhampton - MacKay,Fokker F-27 Friendship 100,VH-TFB,10112,29.0,25.0,4.0,29.0,25.0,4.0,0.0,"The flight crashed into the sea, 7.5 miles from the airport after being in a holding pattern waiting for fog to lift.  Cause could not be determined.",6,1960,Night,418,1932,1342,2959,1.0,0.0,Summer
Alaska,Pacific Northern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14.0,9.0,5.0,14.0,9.0,5.0,0.0,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course.",6,1960,Overnight,40,1476,1706,949,1.0,0.0,Summer
Brazil,REAL,Unknown,Belo Horizonte - Rio de Janeiro,Convair CV-340-62,PP-YRB,191,54.0,49.0,5.0,54.0,49.0,5.0,0.0,Crashed into Guanabara Bay during approach. Cause undetermined.,6,1960,Night,90,1598,885,434,1.0,0.0,Summer
New Jersey,Military - US,Unknown,Unknown,Goodyear ZPG-3W (airship),144242,,21.0,,,18.0,,,0.0,"The airship crashed nose-first into the Atlantic Ocean, 10 miles off the coast of New Jersey. The  failure of a seam due to some unknown factor that degraded the adhesive.",7,1960,Afternoon,329,1331,1414,3613,0.8571428571428571,0.1428571428571429,Summer
Persian Gulf,Gulf Aviation (Kalinga Airways),Unknown,Bahraïn - Doha - Sharjah,Douglas DC-3,VT-DGS,4273,20.0,16.0,4.0,20.0,16.0,4.0,0.0,Crashed into the Persian Gulf while en route. Cause undetermined. Wreckage never found.,7,1960,Morning,407,908,1123,308,1.0,0.0,Summer
Ecuador,Military - US,Unknown,Bogota - Quito,Douglas C-47B-DK,45-1109A,34379,18.0,14.0,4.0,18.0,14.0,4.0,0.0,Crashed and burned on Mt. Pichincha as it prepared to land at Quito.,7,1960,Morning,158,1331,1066,515,1.0,0.0,Summer
Philippines,Northwest Orient Airlines,1-11,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58.0,51.0,7.0,1.0,1.0,0.0,0.0,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.",7,1960,Overnight,411,1443,1201,2582,0.017241379310344827,0.9827586206896551,Summer
Ethiopia,Ethiopian Airlines,372,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11.0,8.0,3.0,1.0,0.0,1.0,0.0,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft.",7,1960,Morning,167,787,1123,660,0.09090909090909091,0.9090909090909091,Summer
Denmark,Flyve Tjenesten,Unknown,Copenhagen - Herning,de Havilland DH-89 Dragon Rapide,OY-DZY,6956,9.0,8.0,1.0,8.0,8.0,0.0,0.0,"The twin engine aircraft was chartered by the Danish Football Association. In the initial climb the pilot lost control of the plane and crashed into the ocean 50 meters off shore. Eight members of the Daniish Soccer Association were killed, while the pilot survived, but lost a leg. The pilot suffered spatial disorientation in heavy rain and strong crosswinds. The plane was not equipped with wipers which was considered as a contributing factor to the accident.",7,1960,Afternoon,147,837,2415,943,0.8888888888888888,0.11111111111111116,Summer
Zaire,Military - Royal,Unknown,Unknown,Fairchild C-119G,CP-36,,41.0,37.0,4.0,37.0,33.0,4.0,0.0,Crashed into mountainous terrain north of Lake Kivu after experiencing engine failure.,7,1960,Afternoon,544,1314,1280,3613,0.9024390243902439,0.09756097560975607,Summer
Russia,Aeroflot,613,Leningrad - Syktyvkar,Ilushin IL-14,CCCP-61696,147001035,23.0,19.0,4.0,23.0,19.0,4.0,0.0,Broke up in mid air after flying through a thunderstorm and experiencing heavy g loads.,7,1960,Afternoon,428,90,1510,1853,1.0,0.0,Summer
Illinois,Chicago Helicopter Airways,698,Unknown,Sikorsky S-58C helicopter,N879,58420,13.0,11.0,2.0,13.0,11.0,2.0,0.0,"The helicopter crashed into Forest Home Cemetery. The structural disintegration in flight, initiated by a fatigue fracture of a main rotor blade.",7,1960,Night,218,622,2098,3613,1.0,0.0,Summer
Italy,Deutsche Flugdienst,Unknown,Frankfort - Rimini,Convair CV-240-4, D-BELU,78,34.0,30.0,4.0,1.0,1.0,0.0,0.0,"While descending through 5,000ft, the crew lost the No.1 engine. At 1,500 ft. the other engine was also lost. The aircraft crashed 3,300 ft. short of the runway. Failure of both engines on the aircraft.",7,1960,Morning,233,724,877,1225,0.029411764705882353,0.9705882352941176,Summer
Bolivia,TAM (Bolivia),Unknown,La Paz - Tipuani,Douglas C-47,TAM-09,9030,6.0,4.0,2.0,6.0,4.0,2.0,0.0,The DC-3 crashed into Hayti Mountain while en route.,8,1960,Unknown,84,1873,1026,1787,1.0,0.0,Summer
Ukraine,Aeroflot,36,Cairo - Moscow,Ilyushin IL-18B,CCCP-75705,189001702,34.0,27.0,7.0,34.0,27.0,7.0,0.0,While en route the No. 4.engine caught fire.  The fire extinguishing system was ineffective and the fire spread to the wing after which the fuel tanks exploded and the plane crashed.,8,1960,Afternoon,508,90,1537,704,1.0,0.0,Summer
Morocco,Military - French,Unknown,Unknown,Avro Lancaster 1,WU-26,,20.0,15.0,5.0,20.0,15.0,5.0,0.0,"Cashed while en route to Casablanca after experiencing an engine fire. Shortly after, the plane crashed in flames on a hilly terrain near El Kelâa des Sraghna.",8,1960,Night,297,1269,235,3613,1.0,0.0,Summer
Greece,Don Everall Aviation,Unknown,"Heraklion, Greece - Cairo, Egypt",Vickers 634 Viking 1B,G-AMNK,210,3.0,0.0,3.0,3.0,0.0,3.0,0.0,"The cargo plane took off, lost an engine, banked to the left and crashed into the ocean. The cause of the engine failure was not established but the most likely reason appears to be a defective fuel or ignition system. The reason why it was not possible for the aircraft to maintain safe flight after the failure of the engine remains unknown.",8,1960,Unknown,189,736,2258,1381,1.0,0.0,Summer
Senegal,Air France,343,Paris - Dakar - Monrovia - Abidjan,Lockheed 1049G Super Constellation,F-BHBC,4622,63.0,55.0,8.0,63.0,55.0,8.0,0.0,"The aircraft crashed into the Atlantic Ocean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike.",8,1960,Morning,444,198,1673,2680,1.0,0.0,Summer
Russia,Aeroflot,804,	Arkhangelsk - 	Cherepovets,Ilyushin IL-14P,CCCP-04200,1470 014 18,18.0,13.0,5.0,18.0,13.0,5.0,0.0,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,9,1960,Afternoon,428,90,1534,0,1.0,0.0,Fall
Uruguay,Aerolineas Argentinas,205,Asuncion - Buenos Aires,Douglas DC-6,LV-ADS,43031/127,31.0,25.0,6.0,31.0,25.0,6.0,0.0,"Crashed in a storm. Separation of propeller followed by disintegration of the aircraft. Overspeeding of No.3 propeller caused by irregular operation of the propeller governor, detachment of that propeller and impact with that of No.4 engine, followed by disintegration of the aircraft.",9,1960,Morning,514,104,1187,251,1.0,0.0,Fall
Mariana Islands,World Airways,830/18,Guam - Wake Island,Douglas DC-6AB,N90779,44914/646,94.0,86.0,8.0,80.0,73.0,7.0,0.0,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.",9,1960,Morning,274,2137,1191,1311,0.851063829787234,0.14893617021276595,Fall
Okinawa,Military - US,Unknown,"Atsugi, Japan - Subi Point, Philippines",Douglas R5D-3,56541,,29.0,26.0,3.0,29.0,26.0,3.0,0.0,The plane crashed after transmitting a message that the No. 3 engine was on fire and they were diverting to Okinawa. The fire in the No. 3 engine was extinguished but a residual fire continued in a tire until it ignited the fuel tank resulting in an explosion.,9,1960,Afternoon,380,1331,1221,278,1.0,0.0,Fall
Quebec Canada,Wheeler Airlines,Unknown,Campbell Lake - St Jovite,Noorduyn Norseman,CF-FOJ,N29-32,4.0,3.0,1.0,3.0,2.0,1.0,0.0,"Shortly after takeoff from Campbell Lake, while climbing, the single engine aircraft stalled and crashed in flames in a wooded area. The pilot and two passengers were killed while a third passenger was seriously injured.  Engine failure.",9,1960,Unknown,419,2121,1930,729,0.75,0.25,Fall
Russia,Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37.0,31.0,6.0,31.0,26.0,5.0,0.0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.",9,1960,Night,428,425,2316,3706,0.8378378378378378,0.16216216216216217,Fall
Mexico,Mexicana,Unknown,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),XA-HUS,7388,18.0,15.0,3.0,8.0,5.0,3.0,0.0,"Crashed on the slopes of a mountain near Juchitepec, about 40 km south of Mexico City Airport in dense fog.",9,1960,Unknown,284,1220,1139,3421,0.4444444444444444,0.5555555555555556,Fall
Italy,United Arab Airlines,738,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21.0,17.0,4.0,21.0,17.0,4.0,0.0,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,9,1960,Afternoon,233,2044,2292,1262,1.0,0.0,Fall
Massachusetts,Eastern Air Lines,375,Boston - Philadelphia,Lockheed 188A Electra,N5533,1062,72.0,67.0,5.0,62.0,59.0,3.0,0.0,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.",10,1960,Afternoon,278,760,1697,556,0.8611111111111112,0.13888888888888884,Fall
Italy,Itavia,115,Rome - Genoa,de Havilland DH-114 Heron 2,I-AOMA,14090,11.0,7.0,4.0,11.0,7.0,4.0,0.0,Hit Mt. Capanne while en route.  Cause unknown.,10,1960,Afternoon,233,1006,2403,2968,1.0,0.0,Fall
Utah,Capitol Airways,Unknown,Rapid City - Ogden,Curtiss C-46F,N1300N,22481,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"The right wing of the cargo plane separated from the aircraft at 6,500 ft. Fatigue of the right wing lower attach angle bolts resulting in an in-flight wing failure.",10,1960,Unknown,515,576,939,2895,1.0,0.0,Fall
Russia,Aeroflot,0005,Moscow - Omsk - Irkutsk - Khabarovsk,Tupolev Tu-104A,CCCP-42452,96601701,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Crashed after a premature descent. The decision by the captain to perform a go-around was ccrrect but the very low pass above the runway was unacceptable.,10,1960,Night,428,90,2228,2349,1.0,0.0,Fall
Montana,Northwest Orient Airlines,104,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12.0,8.0,4.0,12.0,8.0,4.0,0.0,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.",10,1960,Morning,296,1443,1085,3289,1.0,0.0,Fall
Ohio,Arctic Pacific,Unknown,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,N1244N,22458,48.0,45.0,3.0,22.0,20.0,2.0,0.0,"Crashed after taking off from Toledo Express Airfield, landing 5,800 ft. beyond the runway threshold. Sixteen members of the California State  Polytechnic College,  San Luis Obispo football team killed. Premature lift-off, partial loss of power in the No.1 engine, overweight aircraft and weather conditions were the cause of the crash.",10,1960,Night,379,391,940,3524,0.4583333333333333,0.5416666666666667,Fall
Florida,Cubana de Aviacion,Unknown,"Havana, Cuba - 	Nueva Gerona",Douglas DC-3,Unknown,,37.0,34.0,3.0,1.0,1.0,0.0,0.0,Ten minutes into the flight the copilot grabbing the air marshall and forcing the pilot at gunpoint to head to Key West. A shooting erupted and the air marshall was killed. A total of nine persons were involved in the hijacking.,10,1960,Unknown,171,692,1123,1373,0.02702702702702703,0.972972972972973,Fall
Nepal,Royal Nepal Airlines,Unknown,Bairahawa - Kathmandu,Douglas C-47A,9N-AAD,19792,4.0,0.0,4.0,4.0,0.0,4.0,0.0,"While in  the initial climb, the plane stalled and crashed in a huge explosion.",11,1960,Unknown,322,1636,1036,309,1.0,0.0,Fall
Ecuador,AREA,Unknown,Guayaquil - Quito,Fairchild F-27A,HC-ADV,0001A,37.0,34.0,3.0,37.0,34.0,3.0,0.0,Crashed into a mountain 20 miles south of the airport while on approoach to Quito-Mariscal Sucre Airport.,11,1960,Unknown,158,25,1294,1328,1.0,0.0,Fall
Philippines,Philippine Air Lines,26,Iloilo - Manila,Douglas DC-3,PI-C133,13397,33.0,29.0,4.0,33.0,29.0,4.0,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,11,1960,Night,411,1538,1123,1450,1.0,0.0,Fall
Russia,Aeroflot,081,	Syktyvkar - Moscow,Ilyushin 14M,	 CCCP-52091,7342905,14.0,9.0,5.0,14.0,9.0,5.0,0.0,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,12,1960,Night,428,90,1517,34,1.0,0.0,Winter
Brazil,REAL,Unknown,Cuiaba - Manaus,Curtiss C-46A-60-CK,PP-AKF,295,15.0,13.0,2.0,15.0,13.0,2.0,0.0,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.",12,1960,Unknown,90,1598,926,984,1.0,0.0,Winter
Argentina,Military - Argentine,Unknown,Lima - Antofagasta - El Palomar,Avro 691 Lancastrian IV,T-102,,31.0,23.0,8.0,31.0,23.0,8.0,0.0,"The domestic flight cashed and burned in heavy rain, 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions.",12,1960,Night,52,1234,232,1870,1.0,0.0,Winter
New York,United Air Lines / Trans World Airlines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128.0,116.0,12.0,128.0,116.0,12.0,6.0,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.",12,1960,Morning,331,2040,1813,838,1.0,0.0,Winter
West Germany,Military - US,Unknown,"Munich - Northolt AB, England",Convair C-131D (CV-340-79),55-291,212,20.0,13.0,7.0,20.0,13.0,7.0,31.0,"The aircraft lost an engine on takeoff from Munich. Unable to maintain altitude, the aircraft crashed into St. Paul's Cathedral church and into a crowded streetcar in the business section of the city, breeching a gas main and starting a fierce fire, Thirty-one people were killed on the ground. A collection of water was found in the fuel tank booster pump. Fuel contamination causing engine failure.",12,1960,Afternoon,532,1331,871,2383,1.0,0.0,Winter
Philippines,Philippine Air Lines,S85,Cebu - Davao,Douglas DC-3,PI-C126,20593,37.0,34.0,3.0,28.0,26.0,2.0,0.0,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,12,1960,Afternoon,411,1538,1123,780,0.7567567567567568,0.2432432432432432,Winter
Russia,Aeroflot,651,Kuibyshev - Ulyanovsk,Ilyushin IL-18A,CCCP-75651,188000405,17.0,13.0,4.0,17.0,13.0,4.0,0.0,Loss of control resulted after 40 degrees flaps was selected causing the plane to crash. Icing.,12,1960,Night,428,90,1536,1761,1.0,0.0,Winter
Czechoslovakia,Ceskoslovenske Aerolinie,Unknown,Training,Avia 14,OK-MCZ,105807110,10.0,5.0,5.0,10.0,5.0,5.0,0.0,"Unable to gain altitude, the aircraft crashed into power cables during takeoff.",1,1961,Unknown,137,603,210,3547,1.0,0.0,Winter
Finland,Finnair,311,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25.0,22.0,3.0,25.0,22.0,3.0,0.0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.",1,1961,Morning,170,821,1123,1727,1.0,0.0,Winter
New York (Idlewild),Aeronaves de Mexico,401,New York - Mexico City,McDonnell Douglas DC-8-21,XA-XAX,45432/105,106.0,97.0,9.0,4.0,0.0,4.0,0.0,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on.",1,1961,Night,332,118,1845,2456,0.03773584905660377,0.9622641509433962,Winter
Midway Island Naval Air Station,Military - US,Unknown,Survey,Lockheed WV-2 Super Constellation,BU143193,4467,22.0,0.0,22.0,6.0,0.0,6.0,3.0,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing geart was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned.",1,1961,Overnight,287,1331,1809,3352,0.2727272727272727,0.7272727272727273,Winter
Indonesia,Garuda Indonesia Airlines,424,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21.0,16.0,5.0,21.0,16.0,5.0,0.0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,1,1961,Morning,225,874,1123,1501,1.0,0.0,Winter
Newfoundland,Military - US,Unknown,Kenitra - Lajes - Argentia - Norfork,Douglas C-118A Liftmaster,51-17626,43670,23.0,13.0,10.0,23.0,13.0,10.0,0.0,"While approaching Argentia-Bristol Field, the  aircraft crashed into the Trinity Bay about 50 km northeast of Argentia. It is believed the aircraft disintegrated in the air possibly following a mechanical issue. However, due to a lack of evidence,  it was not possible to determine the exact cause of the accident.",1,1961,Overnight,334,1331,1016,1653,1.0,0.0,Winter
New York,American Airlines,Unknown,Training,Boeing 707-123,N7502A,17629/8,6.0,0.0,6.0,6.0,0.0,6.0,0.0,"The aircraaft banked left, entered a dive and eventually crashed into the ocean five miles off shore.",1,1961,Afternoon,331,360,376,3547,1.0,0.0,Winter
Indonesia,Garuda Indonesia Airlines,542,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26.0,21.0,5.0,26.0,21.0,5.0,0.0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,2,1961,Night,225,874,1123,3344,1.0,0.0,Winter
Belgium,Sabena,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72.0,61.0,11.0,72.0,61.0,11.0,1.0,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",2,1961,Morning,76,1682,456,2470,1.0,0.0,Winter
Venezuela,Linea Aeropostal Venezolana,Unknown,San Antonio-Maiquetia,Douglas DC-3,YV-C-AZQ,19986,12.0,8.0,4.0,12.0,8.0,4.0,0.0,Crashed into the slope of a mountain while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.,3,1961,Afternoon,519,1120,1123,3041,1.0,0.0,Spring
